mllduecento_mass_.003120 tag_1 0.041424967426499995 8.959113834998257e-06 1000000
mllduecento_mass_.006250 tag_1 0.03995135551417 8.35746328716715e-06 1000000
mllduecento_mass_.012500 tag_1 0.03794631073179998 8.065291548441486e-06 1000000
mllduecento_mass_.025000 tag_1 0.03543952714718999 8.193160805179183e-06 1000000
mllduecento_mass_.050000 tag_1 0.03260579410431998 7.579146272444946e-06 1000000
mllduecento_mass_.100000 tag_1 0.02955800305838 7.3479224964641985e-06 1000000
mllduecento_mass_.200000 tag_1 0.02646442640773 6.85536711844801e-06 1000000
mllduecento_mass_.400000 tag_1 0.023455085424460002 5.969572862083954e-06 1000000
mllduecento_mass_.800000 tag_1 0.020581083394980004 5.492630155338309e-06 1000000
mllduecento_mass_1.600000 tag_1 0.01789888687842 4.554531316513419e-06 1000000
mllduecento_mass_3.200000 tag_1 0.015385981894669998 4.104688488880815e-06 1000000
