mllduecentod_mass_.003120 tag_1 0.025565 2.2025e-06 1000000
mllduecentod_mass_.006250 tag_1 0.022629 1.9076e-06 1000000
mllduecentod_mass_.012500 tag_1 0.019878 1.6587e-06 1000000
mllduecentod_mass_.025000 tag_1 0.017301 1.536e-06 1000000
mllduecentod_mass_.050000 tag_1 0.014902 1.2978e-06 1000000
mllduecentod_mass_.100000 tag_1 0.012676 1.1269e-06 1000000
mllduecentod_mass_.200000 tag_1 0.010626 9.3426e-07 1000000
mllduecentod_mass_.400000 tag_1 0.0087508 7.8113e-07 1000000
mllduecentod_mass_.800000 tag_1 0.0070503 6.4311e-07 1000000
mllduecentod_mass_1.600000 tag_1 0.005526 4.9772e-07 1000000
mllduecentod_mass_3.200000 tag_1 0.0041746 3.6939e-07 1000000
