0.000000e+00   2.000000e+02   1.118473e+01   19355 
2.000000e+02   4.000000e+02   1.270223e+01   21981 
4.000000e+02   6.000000e+02   1.054618e+01   18250 
6.000000e+02   8.000000e+02   1.455720e+01   25191 
8.000000e+02   1.000000e+03   9.890239e+01   171149 
1.000000e+03   1.200000e+03   5.886215e+01   101860 
1.200000e+03   1.400000e+03   4.271060e+01   73910 
1.400000e+03   1.600000e+03   3.010661e+01   52099 
1.600000e+03   1.800000e+03   3.687408e+00   6381 
1.800000e+03   2.000000e+03   1.796029e+00   3108 
2.000000e+03   2.200000e+03   1.219312e+00   2110 
2.200000e+03   2.400000e+03   8.240470e-01   1426 
2.400000e+03   2.600000e+03   5.668935e-01   981 
2.600000e+03   2.800000e+03   4.039333e-01   699 
2.800000e+03   3.000000e+03   2.877808e-01   498 
3.000000e+03   3.200000e+03   1.831858e-01   317 
3.200000e+03   3.400000e+03   1.548700e-01   268 
3.400000e+03   3.600000e+03   8.610308e-02   149 
3.600000e+03   3.800000e+03   6.241029e-02   108 
3.800000e+03   4.000000e+03   4.391835e-02   76 
4.000000e+03   4.200000e+03   2.773791e-02   48 
4.200000e+03   4.400000e+03   1.386895e-02   24 
4.400000e+03   4.600000e+03   4.622984e-03   8 
4.600000e+03   4.800000e+03   2.311492e-03   4 
4.800000e+03   5.000000e+03   0.000000e+00   0 
5.000000e+03   5.200000e+03   0.000000e+00   0 
5.200000e+03   5.400000e+03   0.000000e+00   0 
5.400000e+03   5.600000e+03   0.000000e+00   0 
5.600000e+03   5.800000e+03   0.000000e+00   0 
5.800000e+03   6.000000e+03   0.000000e+00   0 
6.000000e+03   6.200000e+03   0.000000e+00   0 
6.200000e+03   6.400000e+03   0.000000e+00   0 
6.400000e+03   6.600000e+03   0.000000e+00   0 
6.600000e+03   6.800000e+03   0.000000e+00   0 
6.800000e+03   7.000000e+03   0.000000e+00   0 
7.000000e+03   7.200000e+03   0.000000e+00   0 
7.200000e+03   7.400000e+03   0.000000e+00   0 
7.400000e+03   7.600000e+03   0.000000e+00   0 
7.600000e+03   7.800000e+03   0.000000e+00   0 
7.800000e+03   8.000000e+03   0.000000e+00   0 
8.000000e+03   8.200000e+03   0.000000e+00   0 
8.200000e+03   8.400000e+03   0.000000e+00   0 
8.400000e+03   8.600000e+03   0.000000e+00   0 
8.600000e+03   8.800000e+03   0.000000e+00   0 
8.800000e+03   9.000000e+03   0.000000e+00   0 
9.000000e+03   9.200000e+03   0.000000e+00   0 
9.200000e+03   9.400000e+03   0.000000e+00   0 
9.400000e+03   9.600000e+03   0.000000e+00   0 
9.600000e+03   9.800000e+03   0.000000e+00   0 
9.800000e+03   1.000000e+04   0.000000e+00   0 
#etamum -11.451304, 4.449017
#etamup -5.125484, 11.450195
